                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.61695,                0.88518,                 0.5555,                 1.1033,                0.96296,                0.97198,                0.99304,                 0.8422,                0.94449,                 0.9541,                0.97265,                0.85261,                0.58961,                0.94712,                0.40337,                 1.2694,              0.0013664,              0.0013664,              0.0013664
                     67,                0.63943,                0.92204,                0.57327,                 1.1139,                0.94635,                0.98923,                  0.991,                0.85472,                0.94118,                0.95327,                0.95438,                0.85399,                0.56891,                0.85529,                0.42576,                 1.1965,              0.0013565,              0.0013565,              0.0013565
                     68,                0.59186,                0.90005,                0.53629,                 1.0908,                0.95488,                0.97196,                0.98966,                0.84207,                0.94536,                0.96262,                0.98019,                0.87116,                0.59886,                0.81363,                0.45592,                 1.2068,              0.0013466,              0.0013466,              0.0013466
                     69,                0.61306,                0.88195,                0.54275,                 1.0803,                  0.971,                0.97196,                0.99319,                0.88453,                0.95963,                0.96262,                0.97479,                0.87273,                0.53485,                0.85597,                0.42781,                 1.1213,              0.0013367,              0.0013367,              0.0013367
                     70,                0.57313,                0.79785,                0.51336,                 1.0657,                0.98071,                0.95027,                0.99026,                0.86379,                0.97082,                0.93281,                0.96137,                0.85292,                0.56284,                0.91965,                0.43959,                 1.1834,              0.0013268,              0.0013268,              0.0013268
                     71,                 0.5881,                0.87334,                0.54326,                 1.0905,                0.96045,                0.96262,                0.98505,                0.84164,                 0.9417,                0.94393,                0.96082,                0.85966,                0.58326,                0.92113,                0.44772,                  1.202,              0.0013169,              0.0013169,              0.0013169
                     72,                0.57013,                0.79959,                0.51467,                  1.085,                0.95072,                0.99065,                0.99279,                0.85314,                0.97524,                0.92523,                0.96288,                0.86434,                0.60614,                0.83313,                  0.463,                 1.2067,               0.001307,               0.001307,               0.001307
                     73,                0.53352,                0.78865,                0.48847,                 1.0403,                0.97957,                0.97196,                0.99146,                0.85731,                0.96979,                0.96262,                0.97741,                0.86399,                0.55984,                0.79303,                 0.4403,                 1.1653,              0.0012971,              0.0012971,              0.0012971
                     74,                0.57735,                0.89687,                0.52322,                 1.0758,                0.98111,                0.97073,                0.99273,                0.84714,                0.97166,                0.96138,                0.97398,                0.85466,                0.59137,                  0.938,                0.42977,                 1.2129,              0.0012872,              0.0012872,              0.0012872
                     75,                0.56533,                0.82245,                0.52666,                 1.0735,                 0.9621,                0.94905,                0.97429,                0.80641,                0.96542,                0.93458,                0.97394,                0.83367,                0.63077,                0.96654,                0.43073,                 1.2565,              0.0012773,              0.0012773,              0.0012773
                     76,                0.53846,                0.81638,                0.47672,                  1.067,                0.96676,                0.97196,                0.98967,                0.85493,                0.94768,                0.95327,                0.97653,                0.84193,                0.56399,                0.88132,                0.39818,                 1.1758,              0.0012674,              0.0012674,              0.0012674
                     77,                0.56513,                0.79691,                0.48267,                 1.0539,                0.97121,                0.99065,                0.99435,                0.84498,                0.95994,                0.97196,                 0.9827,                0.84697,                 0.6213,                 0.8771,                0.42075,                 1.2229,              0.0012575,              0.0012575,              0.0012575
                     78,                 0.6318,                 0.8537,                0.54682,                 1.1148,                0.97865,                0.99065,                0.99472,                0.85282,                0.99813,                0.97196,                0.98545,                 0.8665,                0.57639,                  0.739,                0.40784,                 1.1908,              0.0012476,              0.0012476,              0.0012476
                     79,                0.56842,                0.81196,                0.48416,                 1.0818,                  0.962,                0.94648,                0.99018,                0.82795,                  0.962,                0.94648,                0.98484,                0.86179,                0.61347,                0.75553,                0.47033,                 1.2525,              0.0012377,              0.0012377,              0.0012377
                     80,                0.52809,                 0.7556,                0.49228,                 1.0322,                0.98597,                0.97196,                0.99324,                0.86547,                0.98104,                0.96741,                0.98464,                 0.8706,                0.53492,                 0.8283,                 0.4351,                  1.167,              0.0012278,              0.0012278,              0.0012278
                     81,                0.55007,                0.84995,                0.51387,                 1.0672,                0.95228,                0.96262,                0.98778,                0.84167,                0.94303,                0.95327,                0.96659,                0.85487,                0.58456,                0.82843,                 0.4603,                 1.1832,              0.0012179,              0.0012179,              0.0012179
                     82,                0.55343,                0.81069,                0.50034,                 1.0487,                0.98091,                0.96048,                0.99147,                0.84148,                0.97137,                0.95114,                0.98591,                0.86185,                0.57845,                0.80095,                0.44488,                 1.1824,               0.001208,               0.001208,               0.001208
                     83,                0.57162,                0.78035,                0.51406,                 1.0715,                 0.9713,                0.98131,                0.98562,                0.83037,                0.95275,                0.96262,                0.96304,                0.86594,                0.57795,                0.83258,                0.42109,                  1.181,              0.0011981,              0.0011981,              0.0011981
                     84,                0.53826,                0.76307,                0.48299,                 1.0649,                0.97569,                0.95327,                0.99059,                 0.8274,                0.98069,                0.94945,                0.96974,                0.84545,                0.65086,                0.99222,                0.45386,                 1.2968,              0.0011882,              0.0011882,              0.0011882
                     85,                0.59132,                0.83622,                0.50658,                 1.0774,                0.98096,                0.96322,                0.99309,                0.84723,                0.98339,                0.96262,                0.99123,                0.86481,                0.61367,                0.89104,                0.43915,                 1.2261,              0.0011783,              0.0011783,              0.0011783
                     86,                0.53675,                0.79038,                0.47851,                 1.0407,                0.98946,                0.97196,                0.99407,                0.85679,                0.98043,                0.93635,                0.98339,                0.85233,                0.59278,                0.83073,                0.37766,                 1.1977,              0.0011684,              0.0011684,              0.0011684
                     87,                0.57021,                0.86149,                0.48314,                 1.0893,                  0.978,                0.94393,                0.98811,                0.86747,                0.95863,                0.92523,                0.97338,                0.85512,                0.57393,                0.89042,                0.42216,                 1.1853,              0.0011585,              0.0011585,              0.0011585
                     88,                 0.5436,                 0.8117,                0.48469,                  1.081,                 0.9784,                0.96262,                0.97741,                0.85026,                0.95933,                0.94393,                0.96759,                0.85328,                0.55368,                0.95576,                 0.4021,                 1.1764,              0.0011486,              0.0011486,              0.0011486
                     89,                0.52221,                0.80044,                0.46342,                 1.0423,                0.97132,                0.97196,                0.98481,                0.86389,                0.95986,                0.96262,                0.96905,                0.86392,                0.53061,                 0.8808,                0.44445,                 1.1468,              0.0011387,              0.0011387,              0.0011387
                     90,                0.53218,                0.76528,                0.45804,                 1.0635,                0.99019,                0.94325,                0.97652,                0.86408,                0.98038,                 0.9339,                0.96542,                0.86742,                0.56856,                0.93892,                0.39882,                  1.178,              0.0011288,              0.0011288,              0.0011288
                     91,                0.56164,                0.75472,                0.46598,                 1.0711,                      1,                0.97849,                0.99297,                0.87774,                0.97804,                0.95327,                0.97329,                0.87569,                0.54557,                0.87322,                0.37231,                 1.1517,              0.0011189,              0.0011189,              0.0011189
                     92,                0.49726,                0.77137,                0.47359,                 1.0258,                 0.9973,                0.96262,                0.99339,                0.90253,                0.97783,                0.94393,                 0.9815,                0.89248,                0.48767,                0.82569,                0.34388,                 1.1009,               0.001109,               0.001109,               0.001109
                     93,                0.52394,                0.77517,                0.46725,                 1.0454,                0.99055,                 0.9799,                0.99361,                0.87965,                0.97166,                0.96121,                0.97187,                0.88785,                0.49458,                 0.7742,                0.34817,                 1.1128,              0.0010991,              0.0010991,              0.0010991
                     94,                0.50245,                0.80568,                0.44862,                 1.0244,                0.98642,                0.96262,                0.99266,                0.89515,                0.97649,                0.95327,                0.98622,                0.88171,                0.48659,                0.77758,                0.37854,                 1.0998,              0.0010892,              0.0010892,              0.0010892
                     95,                0.46685,                0.76323,                0.41794,                0.99927,                0.96551,                0.96262,                0.99062,                0.88364,                0.95572,                0.95327,                 0.9729,                0.87856,                0.49285,                0.85748,                0.40433,                 1.1143,              0.0010793,              0.0010793,              0.0010793
                     96,                0.49105,                0.72584,                0.42176,                  1.022,                0.97192,                0.97038,                0.98962,                0.88075,                0.96256,                0.96111,                0.96739,                0.88679,                0.50019,                0.87413,                0.38784,                 1.1115,              0.0010694,              0.0010694,              0.0010694
                     97,                0.51275,                0.71875,                0.47188,                  1.044,                0.97971,                0.97196,                0.98934,                0.87961,                0.97029,                0.96262,                0.96842,                0.89627,                0.50079,                 0.8858,                0.38358,                 1.1107,              0.0010595,              0.0010595,              0.0010595
                     98,                0.48976,                0.72035,                0.44519,                 1.0211,                0.94483,                0.99065,                0.99241,                0.89353,                0.97936,                0.92523,                0.97411,                0.88771,                0.50205,                0.81212,                 0.3712,                 1.1168,              0.0010496,              0.0010496,              0.0010496
                     99,                0.51736,                0.73096,                 0.4499,                 1.0318,                0.98629,                0.96262,                0.99285,                0.85651,                 0.9624,                0.94393,                 0.9628,                0.87364,                 0.5841,                0.86675,                0.40372,                 1.2166,              0.0010397,              0.0010397,              0.0010397
                    100,                0.48892,                 0.7458,                0.45295,                 1.0154,                0.97217,                0.97956,                0.99247,                0.88152,                0.98091,                0.96037,                0.97348,                0.88549,                0.51426,                0.92837,                0.34858,                 1.1345,              0.0010298,              0.0010298,              0.0010298
                    101,                0.48144,                0.70084,                0.43213,                 1.0174,                0.98676,                0.97196,                 0.9886,                0.88662,                0.97054,                0.96262,                0.97016,                0.86821,                 0.4996,                0.90973,                0.33713,                 1.1295,              0.0010199,              0.0010199,              0.0010199
                    102,                0.47549,                0.73744,                 0.4116,                 1.0103,                0.99705,                0.97196,                0.99198,                0.88041,                0.98086,                0.95327,                0.97245,                0.86639,                 0.4987,                 0.9868,                0.37803,                 1.1152,                0.00101,                0.00101,                0.00101
                    103,                0.52322,                0.79508,                0.45389,                 1.0372,                0.98592,                0.97196,                0.98982,                0.88076,                0.97618,                0.96262,                0.97421,                0.86042,                0.50952,                0.92352,                0.37993,                 1.1349,              0.0010001,              0.0010001,              0.0010001
                    104,                0.48604,                0.72345,                0.42433,                 1.0083,                0.99488,                0.98131,                0.99438,                0.89271,                0.98541,                0.97196,                0.99202,                0.87697,                0.51001,                0.81976,                 0.3439,                 1.1231,              0.0009902,              0.0009902,              0.0009902
                    105,                0.46932,                0.70247,                0.41066,                 1.0124,                0.98128,                0.97958,                0.99416,                0.89554,                0.95693,                0.96262,                0.97453,                0.89389,                0.49697,                0.73304,                0.33527,                 1.1144,              0.0009803,              0.0009803,              0.0009803
                    106,                0.49071,                0.70632,                0.41995,                 1.0204,                0.95243,                0.97196,                0.99171,                0.87531,                0.95243,                0.97196,                0.99049,                0.88092,                0.51957,                0.75502,                0.35853,                 1.1147,              0.0009704,              0.0009704,              0.0009704
                    107,                0.46984,                0.70921,                0.41755,                0.99954,                0.99354,                0.97196,                0.99446,                0.89252,                 0.9714,                0.98131,                0.99351,                0.89404,                0.51218,                0.77336,                0.34696,                 1.1405,              0.0009605,              0.0009605,              0.0009605
